appliance_type,brand,issue_title,symptoms,possible_causes,diagnostic_steps,recommended_parts,chromadb_doc_id
refrigerator,"Frigidaire, Whirlpool",Freezer not defrosting,"[""Freezer not defrosting""]",[],[],"[""PS11757023"", ""PS11723171"", ""PS11742474"", ""PS11757023"", ""PS11757023"", ""PS11757023"", ""PS2350702"", ""PS423801"", ""PS11757023""]",troubleshoot_35697
refrigerator,"Frigidaire, GE, Whirlpool",Frost buildup,"[""Frost buildup""]",[],[],"[""PS11723171"", ""PS11742474"", ""PS2364915"", ""PS2350702"", ""PS423801""]",troubleshoot_86140
refrigerator,"Frigidaire, Whirlpool",Freezer too cold,"[""Freezer too cold""]",[],[],"[""PS11723171"", ""PS11742474"", ""PS2350702"", ""PS423801""]",troubleshoot_81816
refrigerator,Frigidaire,Leaks water,"[""Leaks water""]",[],[],"[""PS7784018"", ""PS7784018""]",troubleshoot_49506
refrigerator,Frigidaire,Doesn’t stop running,"[""Doesn\u2019t stop running""]",[],[],"[""PS2350702""]",troubleshoot_73970
refrigerator,Frigidaire,Too cold,"[""Too cold""]",[],[],"[""PS2350702""]",troubleshoot_53339
dishwasher,"Bosch, Frigidaire, GE, LG, Samsung, Whirlpool",Door won’t close,"[""Door won\u2019t close""]",[],[],"[""PS10065979"", ""PS11746591"", ""PS11745496"", ""PS11750093"", ""PS11745488"", ""PS3406971"", ""PS11746591"", ""PS11748729"", ""PS972325"", ""PS11745496""]",troubleshoot_23154
dishwasher,"Bosch, Frigidaire, GE, LG, Midea, Samsung, Whirlpool",Door latch failure,"[""Door latch failure""]",[],[],"[""PS10065979"", ""PS11746591"", ""PS11745496"", ""PS11750093"", ""PS11731570"", ""PS11745488"", ""PS3406971"", ""PS11746591"", ""PS11748729"", ""PS972325""]",troubleshoot_60837
dishwasher,"Bosch, Frigidaire, GE, LG, Samsung, Whirlpool",Not cleaning dishes properly,"[""Not cleaning dishes properly""]",[],[],"[""PS10065979"", ""PS11746591"", ""PS8260087"", ""PS11755592"", ""PS11750093"", ""PS11755664"", ""PS11731570"", ""PS11759673"", ""PS3406971"", ""PS11746591""]",troubleshoot_45876
dishwasher,"Bosch, Frigidaire, GE, LG, Whirlpool",Noisy,"[""Noisy""]",[],[],"[""PS10065979"", ""PS11746591"", ""PS11755592"", ""PS11745488"", ""PS3406971"", ""PS11746591"", ""PS11755592"", ""PS972325"", ""PS11724988"", ""PS11704799""]",troubleshoot_60346
dishwasher,"Bosch, Frigidaire, GE, LG, Whirlpool",Leaking,"[""Leaking""]",[],[],"[""PS10065979"", ""PS8260087"", ""PS11755592"", ""PS11745496"", ""PS11755664"", ""PS11759673"", ""PS3406971"", ""PS8260087"", ""PS12348515"", ""PS11748729""]",troubleshoot_57350
dishwasher,"Bosch, Frigidaire, GE, Whirlpool",Will Not Start,"[""Will Not Start""]",[],[],"[""PS10065979"", ""PS8260087"", ""PS3406971"", ""PS8260087"", ""PS11748729"", ""PS16744934"", ""PS972325"", ""PS16746057"", ""PS11724988"", ""PS11704799""]",troubleshoot_39835
dishwasher,"Bosch, Frigidaire, GE, Whirlpool",Not drying dishes properly,"[""Not drying dishes properly""]",[],[],"[""PS8260087"", ""PS11755592"", ""PS11759673"", ""PS8260087"", ""PS11755592"", ""PS9494999"", ""PS11724988"", ""PS12585623"", ""PS8260087"", ""PS8260087""]",troubleshoot_88445
dishwasher,"Bosch, Frigidaire, GE, LG, Whirlpool",Not draining,"[""Not draining""]",[],[],"[""PS8260087"", ""PS11755592"", ""PS11759673"", ""PS8260087"", ""PS11748729"", ""PS11755592"", ""PS16746057"", ""PS11724988"", ""PS11704799"", ""PS8730270""]",troubleshoot_22934
dishwasher,"Frigidaire, Whirlpool",Will not dispense detergent,"[""Will not dispense detergent""]",[],[],"[""PS11731570"", ""PS12585623"", ""PS11770487"", ""PS12585623"", ""PS12585623"", ""PS10064063"", ""PS12585623"", ""PS12585623"", ""PS10064063"", ""PS421128""]",troubleshoot_37842
dishwasher,Whirlpool,Touchpad does not respond,"[""Touchpad does not respond""]",[],[],"[""PS11748729"", ""PS11748729"", ""PS11748729"", ""PS11748729""]",troubleshoot_9780
dishwasher,"Bosch, Frigidaire, GE, Whirlpool",Will not fill with water,"[""Will not fill with water""]",[],[],"[""PS11748729"", ""PS16744934"", ""PS16746057"", ""PS11751238"", ""PS12585623"", ""PS11748729"", ""PS1734917"", ""PS12585623"", ""PS12585623"", ""PS1990907""]",troubleshoot_19669
refrigerator,Whirlpool,Will not drain,"[""Will not drain""]",[],[],"[""PS11740613"", ""PS11740613""]",troubleshoot_40329
dishwasher,Whirlpool,Not Heating,"[""Not Heating""]",[],[],"[""PS334310""]",troubleshoot_4023
dishwasher,Whirlpool,Drum Not Spinning,"[""Drum Not Spinning""]",[],[],"[""PS11742271"", ""PS11741913"", ""PS11741931"", ""PS11741930"", ""PS11757553""]",troubleshoot_13367
refrigerator,Whirlpool,Not Heating,"[""Not Heating""]",[],[],"[""PS11741429""]",troubleshoot_30666
dishwasher,Whirlpool,Marks left on clothes,"[""Marks left on clothes""]",[],[],"[""PS11741931""]",troubleshoot_75965
refrigerator,Whirlpool,Won’t Start,"[""Won\u2019t Start""]",[],[],"[""PS1964648""]",troubleshoot_44421
refrigerator,Whirlpool,Running With Door Open,"[""Running With Door Open""]",[],[],"[""PS1964648""]",troubleshoot_60957
