part_number,difficulty,estimated_time_minutes,tools_required,video_url,pdf_url,chromadb_doc_id
PS217532,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS217532
PS1993870,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=QlZjvDqmxTE,,install_PS1993870
PS890565,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=F9sMdGvRMXA,,install_PS890565
PS16554876,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=ApHUijcJpBE,,install_PS16554876
PS298977,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=JQCaTL-tog4,,install_PS298977
PS2359946,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=b1CMJ0TNjT0,,install_PS2359946
PS299562,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=jzCCMTD3SHM,,install_PS299562
PS2364915,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d3VNpLJsZEI,,install_PS2364915
PS11764031,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=lJVvik0Rs_I,,install_PS11764031
PS2364916,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS2364916
PS11739042,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=-FbNkD1MIpk,,install_PS11739042
PS358591,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=ECdu8xqf0Ns,,install_PS358591
PS11752991,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=pJhRoiDHrU4,,install_PS11752991
PS3497634,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=eNGe_VUDIBA,,install_PS3497634
PS4163672,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=UpuXX86iFAU,,install_PS4163672
PS12115595,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS12115595
PS4163673,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS4163673
PS11766800,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS11766800
PS4143931,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=NxAnUxggv_Y,,install_PS4143931
PS4145262,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS4145262
PS4176653,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS4176653
PS11747806,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=EHiY1H9fKHE,,install_PS11747806
PS4138666,moderate,30,"[""screwdriver""]",https://www.youtube.com/watch?v=d6AvOkulk_g,,install_PS4138666
